P87002,I,1999,91
P87019,Z,1992,74
P87002,d,2012,43020
P87002,D,2012,236
P92017,F,2008,1
P87618,3,2001,20
P83603,2,1994,14
P87008,6,1975,24
P82015,S,2006,9
P91617,H,1990,1
P91018,d,1997,40
P91018,D,1997,1
P83009,b,2011,32
P91012,M,1989,1
P87660,R,1970,1
P87620,1,2007,22198
P87639,9,1943,1
Y02622,H,1972,3
Y00445,V,1996,63
P87649,Q,2010,359
ZZZZ,M,2003,1547
ZZZZ,m,2003,2622
P87026,2,2075,1
P91629,6,1998,6
NULL,3,2000,4
P84053,C,1995,1
P87039,i,1994,178
P87040,2,1990,139
P87016,T,1988,13
P87025,j,2000,2461
P87025,J,2000,121
P92605,4,2010,4426
P91014,e,1990,3
ZZZZ,B,1988,14
P92015,1,2007,3
P91004,9,1998,11
P91021,T,2014,1
P87639,b,2009,11427
P87639,B,2009,51
Y02849,4,1993,1
P84039,1,2011,21
P87020,J,1965,2
P87024,9,2003,23465
ZZZX,H,2003,2228
ZZZX,h,2003,79
P92652,S,2010,4
P87637,1,1979,1
P87014,8,2003,757
P87634,U,2003,86
P91032,7,2011,6
P87025,U,2006,135
P91004,6,2012,65
P87004,Q,1983,1
P87632,B,1981,1
P87015,N,1980,3
P87028,U,2003,87
P91633,I,2009,6
P91633,i,2009,15
ZZZZ,9,1986,81
P87019,2,1986,37
P87627,L,1966,2
P83001,m,2014,2
P91619,5,1998,1
P91629,k,2009,3
P91629,K,2009,8
P92035,D,2004,1
P87004,P,1972,1
P87022,3,2014,2661
P87632,S,1999,57
P87632,s,1999,33
P92033,R,2006,7
P84630,H,2001,2
P82015,~,1999,43
P84070,8,2006,2
P82643,3,2011,3
P84057,1,2000,2
P92605,F,1996,31
P92605,f,1996,9
P83605,p,2010,25
P83605,P,2010,1
P87614,o,2007,13
P87032,S,1990,61
P82613,4,2002,101
N81007,6,2006,13
NULL,7,2002,8
P91027,j,2000,1
P87035,R,1988,35
P87015,b,1999,882
P87015,B,1999,16
P87624,B,1996,135
P87624,b,1996,50
Y02321,~,1994,43
P87024,1,1959,3
P87641,3,2010,788
P87632,6,1949,1
P87642,Q,2002,13
P91021,9,1999,12
P84688,1,2004,11
P87614,Z,2008,11
P87004,b,1989,44
P87004,B,1989,5
P92002,H,2003,8
P87039,U,1987,1
Y00445,D,1978,5
Y03083,f,2006,15
Y03083,F,2006,1
P87658,F,1984,13
P87040,N,2002,693
P87040,n,2002,84
P87015,p,2005,1209
P92652,M,2007,7
P92652,m,2007,7
P87015,P,2005,7
P87637,9,1960,2
P87020,d,2011,19868
P87020,D,2011,41
P87040,a,2012,23849
P87040,A,2012,561
P92635,Z,2006,1
P82001,6,1995,2
Y02890,Z,2006,1
P87618,A,1987,7
NULL,Z,2013,34
P84072,7,1987,2
P87651,b,2010,5983
P87651,B,2010,31
P84064,8,2008,8
P83608,8,1991,5
P82008,5,1991,2
Y00445,~,2010,3586
P87649,P,1999,331
P87649,p,1999,5
P87035,K,1988,18
P87035,k,1988,1
Y00445,4,2001,43612
P87660,N,1992,37
P87660,n,1992,3
ZZZZ,1,1942,4
P87627,G,1958,2
W91062,9,1998,7
P87634,~,2011,898
P87620,V,2009,37
P87658,F,1964,1
N81107,2,2005,21
P87039,9,1961,1
P82007,2,1985,4
P82616,e,2001,1
P87028,A,1951,1
Y02325,a,1995,29
P87629,e,2001,302
P87629,E,2001,4
Not Recorded,N,1999,18
N81107,H,1992,3
P87634,0,1900,2
Y00445,Z,1953,1
N81109,b,1999,25
Y02767,5,1978,2
P87015,S,1997,57
P92621,9,2009,7
P87610,3,1990,36
P84046,P,1997,2
P84033,4,2002,19
P87627,1,1995,781
Y02520,7,2005,1
P82016,D,2008,1
P87008,3,1969,2
P87648,N,1994,5
P82021,E,2010,4
P84023,1,2000,1
P84030,H,2001,3
P92007,4,2012,25
P87610,K,1987,19
P83007,i,1997,1
P87629,~,1994,1
P83605,S,2002,6
P91011,O,2012,7
P87654,6,1981,22
P83017,m,1995,6
P87630,F,1900,4
P84623,1,2008,1
P92028,G,1996,2
P84012,K,2012,1
P87634,L,1967,1
Y02520,a,2012,1
Y02520,A,2012,2
P87027,8,2004,2198
P91021,2,1991,13
P82009,G,1975,2
P87027,F,1968,8
P87657,L,1983,7
Y02622,B,1996,25
Y02622,b,1996,6
P87610,b,2008,52826
P87610,B,2008,403
P87016,A,1947,2
P86005,0,2009,69
P87027,4,1982,2
P92623,D,2009,8
P87035,T,1958,1
P87641,6,1976,4
P91629,Q,2004,1
P87613,8,1995,452
P83027,H,2002,2
P87642,7,1992,1
P84029,c,2003,1
P91630,8,1998,1
P92033,K,2006,4
P92028,8,1998,4
P87039,d,2007,12991
P87039,D,2007,82
P87639,1,1899,2
P82607,H,2011,5
ZZZX,K,1986,18
P87654,3,1995,65
P91018,1,2013,227
P84679,4,1996,4
P87661,A,1965,2
P87652,9,1988,5
ZZZZ,6,2000,2257
P87019,G,1976,15
P87617,b,1996,2
P87660,e,1990,4
P87618,J,2013,124
P87618,j,2013,5
P87627,V,1997,48
P87661,M,1989,11
Y02378,8,2007,6
P87004,l,1996,278
P87004,L,1996,33
P82007,6,2007,291
P87022,R,1988,3
P87004,1,1982,104
P87613,5,2009,487
P82011,T,2006,1
P91630,5,2012,3
P87019,9,1931,50
P91009,i,2014,19
P87627,D,1979,2
P87629,2,1991,186
P87652,j,2007,1460
P87652,J,2007,145
Y02886,N,2000,2
Y01695,m,2008,2
P87630,H,1994,38
Y02887,6,1970,1
P84652,2,2008,19
P87036,K,2008,57
P87036,k,2008,777
P87660,N,1972,2
P87610,C,1950,2
P83012,e,2005,1
P87036,7,1993,20
P87610,7,2012,794
ZZZZ,l,1995,137
ZZZZ,L,1995,94
P91007,1,2003,29
P87651,K,1989,2
N81059,i,2013,29
P87658,Z,2014,1219
P84053,e,2009,2
P84605,j,2005,1
P87625,4,1998,254
P92635,1,2004,4
P84025,K,2003,5
P87014,U,2002,97
P82006,H,1974,1
P92632,C,2008,1
P87629,6,1993,44
P87652,S,2008,119
P87652,s,2008,147
P87624,L,2003,2673
P87624,l,2003,28
P86003,N,2010,1
P87645,G,1989,4
P84688,R,2010,24
P87008,T,1996,1077
P91030,1,1984,1
P87641,7,2012,157
P87632,M,1996,27
P87632,m,1996,12
P87649,6,1964,2
ZZZX,Q,2001,1416
P87014,S,1977,6
P87630,9,1972,4
Y02767,c,2008,2061
Y02767,C,2008,288
P87632,7,1965,8
P91035,R,1980,1
P87658,8,2000,268
P87032,i,2002,981
P87032,I,2002,4
P87020,8,1992,28
P87040,K,1980,12
P91032,U,2007,3
P83007,2,1999,2
P87639,7,1993,101
P87019,0,2000,47
P87637,N,2007,211
P87637,n,2007,28
Y02129,H,1988,2
P82016,A,1999,1
Y02622,M,2011,938
Y02622,m,2011,1333
P84669,4,2002,5
Y02622,S,2014,230
Y02622,s,2014,9
P82660,N,2012,5
P87654,K,1992,34
P87654,k,1992,31
P87028,I,1990,21
P87028,i,1990,10
P87629,T,1994,2
Y02129,b,2012,79
P87040,0,2004,91
P91021,6,2013,55
P89017,P,2005,8
P83605,f,1992,9
P91018,6,2008,236
P82004,2,2010,5
P87648,M,1988,1
P87015,9,1996,102
P87040,P,1964,1
Y02887,I,2009,1
N81007,m,1990,1
P87002,3,1974,2
Y02625,Z,1961,3
P87017,F,1984,17
P83605,4,2006,1169
P91020,f,2013,50
P87040,7,1965,16
P87632,~,2012,7
P84645,K,2007,2
P84645,k,2007,1
P87627,R,1978,5
P91019,1,1970,1
P84046,S,1969,1
P91012,o,2011,2
P87639,G,2008,176
P87639,g,2008,644
P87016,j,1993,2694
P87016,J,1993,281
P87639,U,1989,2
